row_number,transction_year,transction_month,province_name_th,province_name_en,district_name_th,district_name_en,propertytype_name_th,propertytype_name_en,volume_of_project,interest,day
1476,2022,5,นนทบุรี,Nonthaburi,ปากเกร็ด,PAK KRET,บ้าน,Detached House,43,413,2023-08-31
1262,2022,10,กรุงเทพมหานคร,Bangkok,ดอนเมือง,DON MUEANG,บ้านแฝด,Twin house,11,49,2023-08-31
1415,2020,4,กรุงเทพมหานคร,Bangkok,ภาษีเจริญ,PHASI CHAROEN,บ้าน,Detached House,43,253,2023-08-31
1865,2020,1,กรุงเทพมหานคร,Bangkok,ป้อมปราบศัตรูพ่าย,POM PRAP SATTRU PHAI,อาคารพาณิชย์,Commercial,25,75,2023-08-31
1085,2019,1,กรุงเทพมหานคร,Bangkok,ห้วยขวาง,HUAI KHWANG,คอนโด,Condo,50,188,2023-08-31
2036,2019,5,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,บ้าน,Detached House,132,1437,2023-08-31
777,2020,3,กรุงเทพมหานคร,Bangkok,บางกะปิ,BANG KAPI,บ้านแฝด,Twin house,15,59,2023-08-31
123,2019,5,กรุงเทพมหานคร,Bangkok,บางขุนเทียน,BANG KHUN THIAN,บ้านแฝด,Twin house,49,666,2023-08-31
804,2021,8,กรุงเทพมหานคร,Bangkok,หนองจอก,NONG CHOK,บ้านแฝด,Twin house,14,38,2023-08-31
1067,2020,7,กรุงเทพมหานคร,Bangkok,วัฒนา,VADHANA,คอนโด,Condo,9,12,2023-08-31
1934,2022,4,ปทุมธานี,Pathum Thani,เมืองปทุมธานี,MUEANG PATHUM THANI,บ้าน,Detached House,14,61,2023-08-31
637,2021,5,ปทุมธานี,Pathum Thani,ธัญบุรี,THANYABURI,โฮมออฟฟิศ,Home office,40,290,2023-08-31
1741,2021,9,กรุงเทพมหานคร,Bangkok,คันนายาว,KHAN NA YAO,คอนโด,Condo,11,18,2023-08-31
3,2019,7,นครปฐม,Nakhon Pathom,นครชัยศรี,NAKHON CHAI SI,ทาวน์โฮม,Townhome,16,701,2023-08-31
1096,2022,5,ปทุมธานี,Pathum Thani,เมืองปทุมธานี,MUEANG PATHUM THANI,ทาวน์โฮม,Townhome,33,426,2023-08-31
464,2020,4,กรุงเทพมหานคร,Bangkok,หลักสี่,LAK SI,บ้านแฝด,Twin house,48,527,2023-08-31
299,2021,4,กรุงเทพมหานคร,Bangkok,หนองจอก,NONG CHOK,ทาวน์โฮม,Townhome,27,671,2023-08-31
446,2020,1,กรุงเทพมหานคร,Bangkok,บางพลัด,BANG PHLAT,คอนโด,Condo,24,51,2023-08-31
