row_number,subdistrict_id,subdistrict_name_en,subdistrict_name_th,district_id,district_name_en,district_name_th,province_id,province_name_en,province_name_th,walk_leisure,walk_public_service,walk_school,walk_shopping,walk_work,walk_total,access_boat,access_bus,access_train,access_total,drive_leisure,drive_public_service,drive_school,drive_shopping,drive_work,drive_total,source,day
54,3684,WANG TAKU,วังตะกู,3668,MUEANG NAKHON PATHOM,เมืองนครปฐม,3667,Nakhon Pathom,นครปฐม,26.0,10.0,65.0,75.0,35.0,54.0,0.0,1.0,0.0,0.0,62.0,75.0,75.0,75.0,75.0,73.0,baania,2023-08-31
282,3614,LAK HOK,หลักหก,3600,MUEANG PATHUM THANI,เมืองปทุมธานี,3599,Pathum Thani,ปทุมธานี,76.0,56.0,77.0,89.0,89.0,82.0,0.0,98.0,0.0,39.0,100.0,100.0,98.0,97.0,97.0,98.0,baania,2023-08-31
142,3645,LAT SAWAI,ลาดสวาย,3638,LAM LUK KA,ลำลูกกา,3599,Pathum Thani,ปทุมธานี,90.0,76.0,90.0,97.0,98.0,93.0,0.0,93.0,0.0,37.0,100.0,100.0,99.0,100.0,95.0,99.0,baania,2023-08-31
299,3617,KHLONG SONG,คลองสอง,3615,KHLONG LUANG,คลองหลวง,3599,Pathum Thani,ปทุมธานี,57.0,35.0,60.0,98.0,98.0,79.0,0.0,67.0,0.0,27.0,100.0,100.0,97.0,93.0,83.0,95.0,baania,2023-08-31
106,3967,KHLONG TOEI NUEA,คลองเตยเหนือ,3965,VADHANA,วัฒนา,3781,Bangkok,กรุงเทพมหานคร,98.0,100.0,98.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,77.0,100.0,100.0,87.0,96.0,baania,2023-08-31
8,3640,KHU KHOT,คูคต,3638,LAM LUK KA,ลำลูกกา,3599,Pathum Thani,ปทุมธานี,95.0,73.0,87.0,99.0,99.0,95.0,0.0,98.0,0.0,39.0,100.0,100.0,99.0,100.0,97.0,100.0,baania,2023-08-31
83,3860,THA KHAM,ท่าข้าม,3859,BANG KHUN THIAN,บางขุนเทียน,3781,Bangkok,กรุงเทพมหานคร,62.0,68.0,62.0,81.0,95.0,75.0,1.0,56.0,1.0,23.0,77.0,36.0,94.0,65.0,82.0,69.0,baania,2023-08-31
284,3804,LAT YAO,ลาดยาว,3800,CHATUCHAK,จตุจักร,3781,Bangkok,กรุงเทพมหานคร,91.0,99.0,91.0,100.0,100.0,97.0,77.0,97.0,2.0,70.0,100.0,77.0,100.0,96.0,96.0,95.0,baania,2023-08-31
110,3612,BAN MAI,บ้านใหม่,3600,MUEANG PATHUM THANI,เมืองปทุมธานี,3599,Pathum Thani,ปทุมธานี,70.0,89.0,78.0,99.0,96.0,90.0,0.0,99.0,0.0,40.0,100.0,100.0,99.0,98.0,98.0,99.0,baania,2023-08-31
254,3914,BANG CHAK,บางจาก,3913,PHRA KHANONG,พระโขนง,3781,Bangkok,กรุงเทพมหานคร,93.0,100.0,93.0,100.0,100.0,98.0,92.0,96.0,1.0,75.0,100.0,72.0,100.0,94.0,99.0,94.0,baania,2023-08-31
