"desserts";"meats";"juices";"paper_goods";"frozen_foods";"snack_foods";"canned goods";"beer_wine_spirits";"dairy";"breads";"produce";"receipt_id"
1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;3.0
1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.0
1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;37.0
0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;40.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;45.0
1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;58.0
1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;61.0
1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.0
1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;77.0
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;84.0
0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;89.0
0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;102.0
0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;106.0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;114.0
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;128.0
0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;152.0
1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;163.0
0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;169.0
1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;185.0
0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;211.0
1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;241.0
1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;246.0
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;263.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;270.0
1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;273.0
1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;278.0
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;279.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;280.0
0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;293.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;299.0
0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;309.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;323.0
0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;326.0
0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;340.0
1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;343.0
1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;368.0
0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;379.0
0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;381.0
1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;388.0
1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;400.0
0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;407.0
1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;415.0
1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;417.0
1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;431.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;437.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;447.0
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;448.0
0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;451.0
1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;459.0
1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;483.0
1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;493.0
1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;501.0
0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;502.0
1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;507.0
0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;514.0
1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;521.0
0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;526.0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;529.0
1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;537.0
0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;559.0
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;563.0
1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;581.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;590.0
1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;606.0
0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;613.0
1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;614.0
1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;625.0
0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;626.0
1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;639.0
0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;671.0
1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;675.0
1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;676.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;686.0
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;694.0
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;702.0
1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;704.0
0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;705.0
0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;708.0
0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;710.0
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;715.0
0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;716.0
1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;722.0
0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;730.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;751.0
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;754.0
0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;772.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;795.0
1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;805.0
1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;811.0
1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;819.0
1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;830.0
1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;838.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;840.0
0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;863.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;864.0
1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;865.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;904.0
0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;906.0
1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;907.0
0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;913.0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;922.0
0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;932.0
0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;937.0
0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;947.0
1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;956.0
0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;974.0
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;977.0
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;981.0
1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;990.0
0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;994.0
