receipt_id,desserts,meats,juices,paper_goods,frozen_foods,snack_foods,canned goods,beer_wine_spirits,dairy,breads,produce
1,0,1,1,0,1,0,0,0,0,0,1
2,1,0,1,1,0,0,0,0,1,0,0
3,1,1,1,1,1,0,1,1,1,1,1
4,1,1,0,1,1,0,0,0,0,0,1
5,0,0,0,0,0,1,0,1,0,0,0
6,1,0,1,0,0,0,0,0,0,0,0
7,1,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,1,0,0,1,0,0
9,1,0,0,1,0,0,0,0,0,0,0
10,0,1,0,0,0,0,0,0,0,0,1
11,0,0,0,0,1,0,0,0,0,0,0
12,1,0,0,1,1,0,0,0,1,0,0
13,1,0,0,0,0,0,0,0,0,1,0
14,0,1,0,1,1,1,0,1,0,0,0
15,1,0,0,1,0,0,0,0,0,0,0
16,0,1,0,0,0,0,0,0,0,0,0
17,0,0,1,0,1,0,0,1,1,0,0
18,0,1,0,0,1,1,0,1,0,0,0
19,1,0,0,0,1,0,1,1,0,0,1
20,1,1,1,0,1,1,0,1,0,1,0
21,1,1,1,0,0,0,0,0,0,0,0
22,1,0,0,0,0,0,0,0,0,1,0
23,1,0,0,0,0,1,0,0,1,1,0
24,1,0,0,1,0,1,0,0,1,1,1
25,1,1,0,0,0,0,0,0,1,0,0
26,0,1,0,0,1,1,0,0,1,0,1
27,0,0,0,0,1,0,0,0,0,0,0
28,1,0,0,1,0,0,0,0,0,0,1
29,1,1,0,1,0,0,0,0,0,0,0
30,0,0,0,0,1,0,0,0,1,0,0
31,0,0,1,0,0,0,0,1,1,0,0
32,0,0,0,0,0,1,0,0,1,0,0
33,0,0,0,0,0,0,1,1,1,0,1
34,0,0,0,1,0,0,0,1,0,0,1
35,0,0,0,1,0,0,0,0,0,0,0
36,0,0,0,1,0,0,0,0,0,1,1
37,1,1,0,0,0,0,0,0,0,0,1
38,0,0,0,0,1,1,0,1,1,0,0
39,1,0,0,0,0,0,0,0,0,0,1
40,0,1,0,1,0,0,0,1,1,1,0
41,1,0,1,0,0,0,0,0,0,0,1
42,0,1,0,0,1,1,0,1,0,0,1
43,1,0,0,1,0,0,0,0,0,1,0
44,0,1,0,0,1,0,0,0,0,1,0
45,0,0,0,0,0,0,0,1,0,0,0
46,1,0,1,0,0,1,1,0,0,1,0
47,1,1,0,1,0,0,0,0,1,0,1
48,0,0,1,0,1,1,0,1,0,1,0
49,0,1,0,0,1,0,0,0,0,0,1
50,1,0,0,1,1,0,0,0,0,0,0
51,0,1,1,0,0,0,0,0,0,1,1
52,0,0,0,0,0,1,0,1,0,0,0
53,0,0,0,0,1,0,0,0,0,0,0
54,0,1,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,1,1,0
56,0,0,0,0,1,1,0,1,0,0,1
57,0,1,1,0,0,0,0,0,0,0,0
58,1,1,1,0,1,1,1,1,0,0,0
59,1,0,1,0,0,0,0,0,0,0,0
60,1,0,1,0,1,1,0,1,1,0,1
61,1,1,1,1,1,0,0,1,1,0,0
62,1,0,0,0,1,1,0,0,1,0,0
63,1,0,0,1,0,0,0,0,0,0,0
64,1,0,0,0,1,1,0,1,0,0,0
65,0,0,0,0,1,1,0,1,0,1,0
66,0,1,1,0,1,0,0,0,0,0,1
67,0,0,0,0,0,0,0,0,0,1,0
68,0,0,0,0,1,0,0,0,0,0,0
69,1,1,1,0,0,0,0,0,0,0,1
70,1,1,0,1,0,0,0,0,0,0,0
71,1,0,0,0,1,1,0,0,0,0,0
72,0,0,0,0,1,1,0,1,0,0,0
73,0,0,1,0,0,0,0,0,0,0,1
74,1,0,0,0,0,1,0,0,0,1,0
75,1,1,1,1,0,0,0,1,1,0,0
76,0,0,0,0,1,1,0,1,0,0,0
77,1,0,0,1,0,0,0,0,0,0,1
78,0,1,0,1,0,0,0,1,1,1,0
79,0,0,1,1,1,0,1,0,0,1,0
80,0,0,1,0,0,0,0,0,0,0,0
81,1,0,0,0,1,0,0,0,0,0,0
82,0,1,1,1,1,0,1,1,0,0,1
83,1,0,0,1,0,0,0,0,1,1,0
84,0,0,1,0,0,0,0,0,0,0,0
85,0,1,0,0,0,0,0,0,0,1,1
86,0,0,0,0,1,1,0,1,0,0,0
87,0,0,0,0,0,1,0,0,0,0,0
88,0,0,0,0,0,0,0,1,0,1,1
89,0,0,0,1,0,0,0,1,0,0,0
90,0,0,0,0,0,0,0,0,1,0,0
91,0,0,0,0,0,1,0,0,0,1,0
92,0,0,0,1,1,0,0,1,0,0,1
93,1,0,0,0,1,0,0,0,0,0,0
94,0,1,1,0,0,0,0,0,0,0,0
95,0,0,0,0,1,0,0,0,0,0,0
96,0,1,0,0,0,0,0,0,0,0,1
97,0,1,0,0,0,0,0,0,1,0,0
98,0,0,0,0,0,0,0,0,0,1,0
99,0,1,0,1,1,1,0,1,0,0,0
100,0,0,0,0,0,1,0,0,0,0,0
101,1,0,0,0,1,1,0,1,0,0,0
102,0,0,0,0,1,1,0,1,0,0,0
103,1,0,0,1,0,0,0,1,1,1,0
104,1,0,0,0,1,0,1,1,1,0,0
105,0,0,0,0,0,1,0,0,0,0,0
106,0,0,0,0,1,1,0,0,0,0,0
107,0,0,0,0,0,1,0,0,0,0,0
108,0,0,0,1,0,0,1,0,0,0,0
109,1,0,0,1,0,0,0,0,0,0,1
110,0,0,1,0,0,0,0,1,0,1,0
111,0,1,0,0,0,0,0,0,0,0,1
112,1,0,1,0,1,1,0,1,0,0,1
113,1,0,0,0,0,1,0,0,0,0,0
114,1,0,0,0,0,0,0,0,0,1,0
115,1,0,1,0,0,1,0,0,0,0,0
116,0,1,0,0,0,1,0,0,0,0,0
117,0,0,0,0,1,0,0,0,0,0,0
118,1,1,0,0,0,0,0,1,1,0,1
119,1,0,0,1,0,0,0,0,0,0,0
120,0,0,0,0,1,0,0,0,0,0,0
121,0,1,0,0,1,0,0,1,0,0,0
122,0,1,0,0,0,0,0,0,1,0,0
123,0,1,0,0,1,0,0,0,0,0,0
