CUSTOMER_ID,CHK_ACCT,DURATION,NEW_CAR,USED_CAR,FURNITURE,RADIO/TV,EDUCATION,RETRAINING,AMOUNT,SAV_ACCT,EMPLOYMENT,INSTALL_RATE,MALE_DIV,MALE_SINGLE,MALE_MAR_or_WID,CO-APPLICANT,GUARANTOR,PRESENT_RESIDENT,REAL_ESTATE,PROP_UNKN_NONE,AGE,OTHER_INSTALL,RENT,OWN_RES,NUM_CREDITS,JOB,NUM_DEPENDENTS,TELEPHONE,FOREIGN
20140001,MEDIUM,36,NO,YES,NO,NO,NO,NO,9398,<100DM-500DM00DM,<1Year,1,NO,NO,YES,NO,NO,>=4Years,NO,NO,28,NO,YES,NO,1,MANAGEMENT,1,YES,NO
20140002,MEDIUM,48,NO,NO,YES,NO,NO,NO,9960,<100DM-500DM00DM,<1Year,1,NO,NO,NO,NO,NO,(1Year-2Years],NO,NO,26,NO,NO,YES,1,OFFICIAL,1,YES,NO
20140003,MEDIUM,36,NO,NO,NO,YES,NO,NO,3804,<100DM-500DM00DM,[1Year-4Years),4,NO,NO,NO,NO,NO,<=1Year,NO,NO,42,NO,NO,YES,1,OFFICIAL,1,YES,NO
20140004,HIGH,24,YES,NO,NO,NO,NO,NO,1344,N/A,[4Years-7Years),4,NO,YES,NO,NO,NO,(1Year-2Years],YES,NO,37,YES,NO,YES,2,RESIDENT,2,NO,NO
20140005,NO_ACCOUNT,48,YES,NO,NO,NO,NO,NO,10127,500DM-1000DM,[1Year-4Years),2,NO,YES,NO,NO,NO,(1Year-2Years],NO,YES,44,YES,NO,NO,1,OFFICIAL,1,NO,NO
20140006,LOW,12,NO,NO,NO,YES,NO,NO,727,100DM-500DM,<1Year,4,NO,NO,YES,NO,NO,(2Years-3Years],NO,YES,33,NO,NO,YES,1,RESIDENT,1,YES,NO
20140007,MEDIUM,8,NO,NO,YES,NO,NO,NO,1237,<100DM-500DM00DM,[1Year-4Years),3,NO,NO,NO,NO,NO,>=4Years,YES,NO,24,NO,NO,YES,1,OFFICIAL,1,NO,NO
20140008,MEDIUM,12,YES,NO,NO,NO,NO,NO,685,<100DM-500DM00DM,[4Years-7Years),2,NO,NO,YES,NO,NO,(2Years-3Years],NO,NO,25,YES,NO,YES,1,RESIDENT,1,NO,NO
20140009,LOW,36,NO,NO,YES,NO,NO,NO,2746,<100DM-500DM00DM,>=7Years,4,NO,YES,NO,NO,NO,>=4Years,NO,NO,31,YES,NO,YES,1,OFFICIAL,1,NO,NO
20140010,MEDIUM,30,YES,NO,NO,NO,NO,NO,4249,<100DM-500DM00DM,UNEMPLOYED,4,NO,NO,YES,NO,NO,(1Year-2Years],NO,NO,28,NO,NO,YES,2,MANAGEMENT,1,NO,NO
