CUSTOMER_ID,CHK_ACCT,DURATION,NEW_CAR,USED_CAR,FURNITURE,RADIO/TV,EDUCATION,RETRAINING,AMOUNT,SAV_ACCT,EMPLOYMENT,INSTALL_RATE,MALE_DIV,MALE_SINGLE,MALE_MAR_or_WID,CO-APPLICANT,GUARANTOR,PRESENT_RESIDENT,REAL_ESTATE,PROP_UNKN_NONE,AGE,OTHER_INSTALL,RENT,OWN_RES,NUM_CREDITS,JOB,NUM_DEPENDENTS,TELEPHONE,FOREIGN,RESPONSE
20130001,MEDIUM,48,NO,NO,NO,YES,NO,NO,5951,<100DM-500DM00DM,[1Year-4Years),2,NO,NO,NO,NO,NO,(1Year-2Years],YES,NO,22,NO,NO,YES,1,OFFICIAL,1,NO,NO,NO
20130002,LOW,24,YES,NO,NO,NO,NO,NO,4870,<100DM-500DM00DM,[1Year-4Years),3,NO,YES,NO,NO,NO,>=4Years,NO,YES,53,NO,NO,NO,2,OFFICIAL,2,NO,NO,NO
20130003,MEDIUM,30,YES,NO,NO,NO,NO,NO,5234,<100DM-500DM00DM,UNEMPLOYED,4,NO,NO,YES,NO,NO,(1Year-2Years],NO,NO,28,NO,NO,YES,2,MANAGEMENT,1,NO,NO,NO
20130004,MEDIUM,12,YES,NO,NO,NO,NO,NO,1295,<100DM-500DM00DM,<1Year,3,NO,NO,NO,NO,NO,<=1Year,NO,NO,25,NO,YES,NO,1,OFFICIAL,1,NO,NO,NO
20130005,LOW,48,NO,NO,NO,NO,NO,YES,4308,<100DM-500DM00DM,<1Year,3,NO,NO,NO,NO,NO,>=4Years,NO,NO,24,NO,YES,NO,1,OFFICIAL,1,NO,NO,NO
20130006,LOW,24,YES,NO,NO,NO,NO,NO,1199,<100DM-500DM00DM,>=7Years,4,NO,YES,NO,NO,NO,>=4Years,NO,NO,60,NO,NO,YES,2,RESIDENT,1,NO,NO,NO
20130007,LOW,24,NO,NO,NO,YES,NO,NO,1282,100DM-500DM,[1Year-4Years),4,NO,NO,NO,NO,NO,(1Year-2Years],NO,NO,32,NO,NO,YES,1,RESIDENT,1,NO,NO,NO
20130008,MEDIUM,24,NO,YES,NO,NO,NO,NO,12579,<100DM-500DM00DM,>=7Years,4,NO,NO,NO,NO,NO,(1Year-2Years],NO,YES,44,NO,NO,NO,1,MANAGEMENT,1,YES,NO,NO
20130009,LOW,60,NO,NO,NO,NO,NO,YES,6836,<100DM-500DM00DM,>=7Years,3,NO,YES,NO,NO,NO,>=4Years,NO,YES,63,NO,NO,YES,2,OFFICIAL,1,YES,NO,NO
20130010,MEDIUM,45,NO,NO,NO,YES,NO,NO,4746,<100DM-500DM00DM,<1Year,4,NO,YES,NO,NO,NO,(1Year-2Years],NO,NO,25,NO,NO,YES,2,RESIDENT,1,NO,NO,NO
20130011,HIGH,18,NO,NO,NO,YES,NO,NO,2100,<100DM-500DM00DM,[1Year-4Years),4,NO,YES,NO,YES,NO,(1Year-2Years],YES,NO,37,YES,NO,YES,1,OFFICIAL,1,NO,NO,NO
20130012,LOW,48,NO,YES,NO,NO,NO,NO,6143,<100DM-500DM00DM,>=7Years,4,NO,NO,NO,NO,NO,>=4Years,NO,YES,58,YES,NO,NO,2,RESIDENT,1,NO,NO,NO
20130013,MEDIUM,36,YES,NO,NO,NO,NO,NO,2225,<100DM-500DM00DM,>=7Years,4,NO,YES,NO,NO,NO,>=4Years,NO,YES,57,YES,NO,NO,2,OFFICIAL,1,YES,NO,NO
