Customer_ID,Age,Gender,Area,Email,Mobile,Logins 4 weeks,Logins 6 months,Sales 4 weeks,Sales 6 months,Sales total
ID141001,54,female,rural,free,always,0,7,0,0,0
ID141002,88,male,urban,free,never,3,3,0,0,0
ID141003,31,female,urban,free,always,0,7,0,0,0
ID141004,54,female,rural,free,never,0,0,0,0,0
ID141005,25,male,urban,free,never,0,0,0,0,0
ID141006,68,female,urban,free,never,0,0,0,0,0
ID141007,27,female,urban,free,yes,0,0,0,0,0
ID141008,34,male,urban,free,yes,0,0,0,0,0
ID141009,29,female,urban,free,never,5,5,0,0,0
ID141010,50,female,rural,free,never,0,0,0,0,0
ID141011,64,male,rural,free,never,0,0,0,0,0
ID141012,61,female,urban,free,never,9,12,0,91,91
ID141013,19,male,rural,free,yes,0,0,0,0,0
ID141014,58,female,urban,free,yes,8,8,0,0,0
ID141015,55,male,urban,free,yes,4,4,0,0,0
ID141016,30,female,rural,free,never,2,2,0,0,0
ID141017,59,female,urban,free,yes,0,7,0,0,0
ID141018,66,male,urban,free,yes,0,0,0,0,0
ID141019,37,female,urban,premium,never,0,2,0,0,0
ID141020,57,male,rural,free,yes,0,7,0,0,0
ID141021,42,male,urban,free,never,5,5,0,0,0
ID141022,20,male,urban,free,never,0,5,0,0,37
ID141023,21,female,urban,free,yes,2,2,0,0,0
ID141024,32,male,rural,free,yes,14,14,0,0,0
ID141025,73,male,rural,free,never,0,0,0,0,0
ID141026,38,male,rural,premium,never,0,0,0,0,0
ID141027,22,male,urban,free,never,0,0,0,0,0
ID141028,72,male,urban,free,never,6,6,0,0,0
ID141029,51,female,rural,free,yes,7,7,0,0,0
ID141030,27,female,urban,premium,yes,0,0,0,0,0
ID141031,52,female,urban,free,never,0,0,0,0,0
ID141032,79,female,urban,premium,yes,0,0,0,0,56
ID141033,21,male,urban,free,always,0,0,0,0,0
ID141034,21,male,urban,free,never,8,8,0,0,0
ID141035,86,male,urban,free,never,0,0,0,0,0
ID141036,61,female,urban,free,never,0,0,0,0,107
ID141037,34,male,urban,premium,yes,0,0,0,0,0
ID141038,49,male,urban,free,yes,0,0,0,0,0
ID141039,19,male,urban,free,never,0,0,0,0,0
ID141040,46,male,urban,premium,never,0,0,0,0,243
ID141041,67,male,urban,free,yes,0,0,0,0,0
ID141042,82,female,urban,free,yes,0,0,0,0,0
ID141043,40,male,urban,free,never,0,0,0,0,0
ID141044,54,female,urban,free,never,0,10,0,0,0
ID141045,35,female,urban,free,never,0,0,0,0,0
ID141046,67,female,rural,free,never,7,7,15,15,15
ID141047,43,female,urban,free,never,0,4,0,0,0
ID141048,28,female,urban,free,never,0,0,0,0,161
ID141049,65,female,urban,free,never,14,14,0,0,0
ID141050,83,male,urban,premium,yes,0,1,0,78,78
ID141051,76,female,urban,premium,yes,4,4,0,0,0
ID141052,52,female,rural,free,never,11,11,0,0,0
ID141053,36,female,rural,free,yes,15,15,21,21,21
ID141054,43,female,urban,free,never,0,0,0,0,0
ID141055,60,male,urban,free,never,7,7,0,0,0
ID141056,50,male,rural,free,yes,0,0,0,0,0
ID141057,28,male,urban,premium,never,0,0,0,0,0
ID141058,28,male,urban,free,yes,11,11,0,0,0
ID141059,48,female,urban,free,yes,2,2,0,0,0
ID141060,26,male,urban,premium,always,6,6,0,0,0
ID141061,30,female,rural,free,never,0,0,0,0,115
ID141062,42,female,rural,free,yes,0,0,0,0,0
ID141063,31,male,urban,free,never,0,0,0,0,188
ID141064,78,female,urban,free,yes,0,0,0,0,0
ID141065,49,female,urban,premium,never,4,4,0,0,18
ID141066,52,female,urban,free,yes,0,0,0,0,0
ID141067,76,male,rural,free,never,0,8,0,0,0
ID141068,60,female,urban,free,yes,0,3,0,0,0
ID141069,60,female,rural,premium,never,0,0,0,0,0
ID141070,17,male,urban,free,never,0,0,0,0,0
ID141071,74,female,urban,free,always,10,10,0,0,0
ID141072,19,male,rural,free,never,10,10,0,0,0
ID141073,51,male,urban,free,yes,0,5,0,0,0
ID141074,80,male,urban,free,never,0,6,0,89,89
ID141075,75,female,urban,free,yes,0,0,0,0,0
ID141076,29,female,rural,free,never,0,0,0,0,0
ID141077,26,male,rural,free,never,0,0,0,0,0
ID141078,81,male,rural,premium,yes,0,0,0,0,0
ID141079,20,male,rural,premium,yes,20,20,0,0,0
ID141080,28,male,rural,free,never,0,0,0,0,0
ID141081,24,female,urban,free,never,0,0,0,0,0
ID141082,84,male,urban,free,never,0,0,0,0,0
ID141083,18,male,rural,premium,never,14,14,0,0,0
ID141084,53,female,urban,premium,yes,0,1,0,0,0
ID141085,65,male,urban,free,never,0,3,0,0,0
ID141086,52,male,urban,free,never,0,0,0,0,46
ID141087,51,male,urban,premium,never,6,6,75,75,75
ID141088,86,male,urban,premium,yes,0,0,0,0,0
ID141089,54,male,urban,premium,never,0,1,0,0,0
ID141090,31,female,urban,premium,always,9,9,108,108,108
ID141091,85,female,urban,free,yes,0,4,0,0,0
ID141092,60,male,urban,premium,yes,0,7,0,0,217
ID141093,79,female,urban,free,yes,0,6,0,0,0
ID141094,52,male,urban,premium,never,0,0,0,0,0
ID141095,62,female,rural,premium,yes,0,5,0,241,278
ID141096,55,female,urban,free,never,0,0,0,0,0
ID141097,69,male,urban,free,never,0,8,0,124,124
ID141098,71,male,rural,free,never,5,5,0,0,0
ID141099,17,female,rural,premium,never,0,0,0,0,0
ID141100,45,male,urban,premium,yes,3,3,0,0,0
ID141101,41,female,rural,free,always,0,7,0,60,60
ID141102,69,male,urban,free,never,0,1,0,0,0
ID141103,68,female,urban,premium,never,6,6,0,0,0
ID141104,85,female,urban,free,yes,0,0,0,0,0
ID141105,28,male,rural,premium,yes,0,0,0,0,0
ID141106,21,female,urban,premium,never,0,5,0,0,0
ID141107,37,female,urban,free,yes,0,0,0,0,0
ID141108,31,female,rural,premium,yes,22,22,0,0,214
ID141109,31,female,urban,premium,never,0,0,0,0,0
ID141110,38,female,urban,free,never,0,0,0,0,0
ID141111,32,male,urban,free,never,0,6,0,0,302
ID141112,42,female,urban,free,never,0,3,0,113,113
ID141113,50,male,urban,premium,never,0,5,0,0,0
ID141114,59,male,urban,premium,yes,0,0,0,0,0
ID141115,59,female,urban,free,never,0,0,0,0,0
ID141116,17,male,urban,free,never,0,0,0,0,0
ID141117,35,male,rural,free,never,0,2,0,0,0
ID141118,20,female,urban,premium,never,0,8,0,62,62
ID141119,23,male,urban,free,never,5,5,0,0,0
ID141120,83,male,urban,free,never,0,2,0,0,45
ID141121,43,female,urban,free,yes,0,0,0,0,0
ID141122,29,male,urban,free,never,0,3,0,0,0
ID141123,57,male,urban,free,never,0,0,0,0,198
ID141124,42,male,urban,premium,yes,0,0,0,0,0
ID141125,56,male,urban,free,yes,0,2,0,0,0
ID141126,28,female,urban,free,never,0,0,0,0,0
ID141127,43,male,urban,premium,yes,0,0,0,0,0
ID141128,48,male,urban,free,never,5,5,0,0,0
ID141129,36,female,urban,free,never,0,4,0,0,0
