Date,^TYX,^XAU,CD,EM,^RUT,^GDAXI,^TNX,GC Trend
02/03/1997,6.71,110.13,0.7464,94.5600,366.75,3138.00,6.39,UP
02/10/1997,6.53,114.64,0.7401,94.5950,369.13,3248.20,6.26,UP
02/18/1997,6.63,118.53,0.7390,94.6000,366.37,3184.10,6.35,UP
02/24/1997,6.79,122.46,0.7348,94.6000,360.05,3259.60,6.53,UP
03/03/1997,6.82,114.21,0.7319,94.5350,365.46,3376.20,6.55,UP
03/10/1997,6.94,115.15,0.7301,94.5400,361.04,3359.30,6.68,UP
03/17/1997,6.95,109.99,0.7298,94.5273,351.73,3298.20,6.73,UP
03/24/1997,7.08,105.10,0.7292,94.3800,348.95,3429.10,6.88,UP
03/31/1997,7.13,103.55,0.7259,94.3350,340.84,3244.90,6.91,UP
04/07/1997,7.16,100.72,0.7244,94.3300,339.25,3340.10,6.96,DOWN
04/14/1997,7.05,97.53,0.7175,94.3125,341.74,3344.40,6.82,DOWN
04/21/1997,7.13,92.44,0.7178,94.2350,335.85,3374.10,6.93,DOWN
04/28/1997,6.90,96.65,0.7167,94.2200,353.98,3460.40,6.67,DOWN
05/05/1997,6.88,106.78,0.7262,94.2800,361.42,3562.40,6.65,DOWN
05/12/1997,6.90,101.41,0.7215,94.3000,365.28,3604.60,6.69,DOWN
05/19/1997,6.98,102.14,0.7307,94.3050,375.67,3602.20,6.73,DOWN
05/27/1997,6.91,104.31,0.7238,94.2950,380.76,3562.70,6.66,DOWN
06/02/1997,6.77,101.46,0.7278,94.3050,387.14,3700.50,6.49,DOWN
06/09/1997,6.72,104.35,0.7210,94.3050,392.07,3752.40,6.41,DOWN
06/16/1997,6.65,97.40,0.7211,94.3125,393.60,3788.50,6.36,DOWN
06/23/1997,6.74,95.31,0.7247,94.3050,392.53,3809.90,6.45,DOWN
06/30/1997,6.61,94.70,0.7276,94.3100,396.17,3946.70,6.29,DOWN
07/07/1997,6.53,93.99,0.7294,94.3350,402.26,4074.30,6.22,DOWN
07/14/1997,6.52,97.09,0.7332,94.3200,405.89,4131.90,6.23,DOWN
07/21/1997,6.44,95.15,0.7285,94.3300,408.54,4368.50,6.16,DOWN
07/28/1997,6.45,98.10,0.7234,94.3650,414.21,4337.00,6.18,DOWN
08/04/1997,6.63,102.47,0.7271,94.3550,414.19,4342.30,6.36,DOWN
08/11/1997,6.56,100.68,0.7191,94.3400,408.58,4077.60,6.25,DOWN
08/18/1997,6.66,101.59,0.7215,94.3672,415.73,4090.10,6.36,DOWN
08/25/1997,6.60,98.87,0.7196,94.3550,423.43,3919.80,6.33,DOWN
