"Insulation";"Temperature";"Num_Occupants";"Avg_Age";"Home_Size"
4.0;58.0;6.0;37.4;3.0
6.0;51.0;2.0;51.6;3.0
8.0;84.0;5.0;64.5;2.0
8.0;45.0;2.0;33.9;8.0
5.0;53.0;1.0;19.8;7.0
3.0;66.0;6.0;64.1;3.0
10.0;76.0;3.0;59.5;7.0
8.0;69.0;9.0;62.2;1.0
5.0;61.0;4.0;32.2;3.0
9.0;87.0;10.0;54.5;1.0
7.0;71.0;1.0;61.0;5.0
2.0;69.0;1.0;32.4;7.0
3.0;72.0;8.0;18.9;6.0
8.0;74.0;5.0;35.6;4.0
3.0;65.0;9.0;17.2;8.0
4.0;89.0;9.0;42.9;2.0
2.0;60.0;9.0;19.8;1.0
4.0;57.0;2.0;53.6;1.0
6.0;70.0;4.0;40.7;3.0
2.0;52.0;10.0;20.9;6.0
3.0;38.0;2.0;55.4;5.0
5.0;38.0;3.0;62.9;5.0
5.0;47.0;6.0;52.3;8.0
6.0;65.0;3.0;53.6;6.0
8.0;48.0;8.0;53.5;6.0
2.0;53.0;4.0;27.4;8.0
6.0;67.0;1.0;25.7;6.0
7.0;58.0;6.0;58.2;3.0
6.0;78.0;5.0;23.3;8.0
4.0;45.0;8.0;72.6;8.0
9.0;74.0;4.0;61.4;3.0
8.0;82.0;8.0;72.6;3.0
8.0;85.0;3.0;63.5;3.0
2.0;52.0;3.0;44.2;4.0
5.0;53.0;5.0;44.4;2.0
8.0;61.0;5.0;63.4;4.0
5.0;69.0;6.0;68.7;8.0
8.0;56.0;5.0;27.7;4.0
5.0;60.0;8.0;61.7;6.0
10.0;86.0;4.0;48.2;2.0
4.0;72.0;7.0;29.5;1.0
4.0;85.0;4.0;69.6;5.0
5.0;65.0;1.0;71.6;3.0
2.0;68.0;10.0;32.9;8.0
6.0;40.0;2.0;59.2;6.0
6.0;57.0;1.0;30.1;7.0
9.0;73.0;9.0;22.6;6.0
2.0;73.0;7.0;59.7;7.0
6.0;77.0;10.0;35.7;8.0
10.0;74.0;8.0;72.9;3.0
4.0;41.0;10.0;18.6;1.0
2.0;89.0;1.0;32.0;1.0
7.0;87.0;7.0;58.6;7.0
9.0;68.0;8.0;43.5;2.0
9.0;79.0;3.0;53.4;3.0
4.0;65.0;7.0;44.5;4.0
5.0;70.0;1.0;28.7;2.0
4.0;76.0;2.0;20.5;1.0
2.0;49.0;1.0;63.5;3.0
9.0;48.0;8.0;42.5;5.0
6.0;75.0;9.0;71.5;5.0
6.0;75.0;8.0;68.3;8.0
8.0;87.0;3.0;61.3;5.0
2.0;49.0;8.0;17.4;1.0
2.0;55.0;4.0;61.4;4.0
6.0;55.0;8.0;55.8;3.0
4.0;81.0;5.0;57.2;8.0
6.0;46.0;6.0;70.0;7.0
3.0;54.0;7.0;37.1;3.0
2.0;49.0;9.0;38.3;8.0
8.0;39.0;1.0;17.1;2.0
8.0;46.0;7.0;58.9;8.0
10.0;68.0;5.0;34.9;4.0
2.0;67.0;4.0;38.3;3.0
4.0;71.0;1.0;60.0;6.0
2.0;70.0;4.0;31.6;8.0
7.0;38.0;2.0;32.0;8.0
5.0;74.0;4.0;44.0;3.0
10.0;83.0;1.0;30.1;4.0
3.0;88.0;6.0;32.0;5.0
8.0;67.0;7.0;38.0;6.0
6.0;57.0;4.0;53.2;5.0
5.0;65.0;1.0;20.7;6.0
4.0;61.0;3.0;30.4;1.0
2.0;75.0;6.0;28.2;5.0
6.0;67.0;5.0;62.5;8.0
4.0;66.0;10.0;54.8;6.0
2.0;57.0;9.0;58.3;5.0
10.0;81.0;2.0;16.3;3.0
9.0;44.0;6.0;27.1;2.0
3.0;49.0;2.0;37.3;2.0
4.0;40.0;4.0;20.3;7.0
10.0;69.0;4.0;43.3;5.0
8.0;71.0;3.0;25.7;4.0
9.0;67.0;2.0;38.4;7.0
6.0;55.0;3.0;53.2;1.0
3.0;71.0;3.0;27.4;8.0
10.0;81.0;9.0;24.3;7.0
6.0;77.0;3.0;46.1;3.0
4.0;57.0;7.0;28.2;2.0
5.0;43.0;4.0;66.2;6.0
10.0;54.0;10.0;31.0;7.0
7.0;42.0;2.0;26.9;4.0
7.0;38.0;8.0;55.3;1.0
6.0;62.0;6.0;54.3;5.0
3.0;47.0;2.0;69.1;1.0
8.0;89.0;6.0;35.3;3.0
10.0;46.0;6.0;27.1;3.0
10.0;90.0;2.0;23.6;1.0
9.0;56.0;10.0;56.5;2.0
2.0;75.0;1.0;71.7;8.0
7.0;65.0;7.0;19.5;6.0
5.0;53.0;3.0;23.5;1.0
3.0;58.0;7.0;22.1;4.0
2.0;51.0;3.0;28.6;3.0
6.0;62.0;1.0;51.2;2.0
7.0;67.0;10.0;49.1;2.0
4.0;71.0;8.0;68.9;5.0
