Class,Tweet
AMZ, @ Amazon Cafe @Sermthai Complex http://t.co/7WwAbgbt6w
AMZ, @ Amazon Cafe https://t.co/BGWpW3Q2LC
AMZ,#CafeAmazon #BlendedBeverage #GreenTea @ Cafe' Amazon Victoria Garden เพชรเกษม69 
AMZ,#cafeamazon @ on the way 
AMZ,#sister #slowlife #cafeamazon @ Cafe Amazon @ PTT Sukhaphibarn3 
AMZ,#slowlife #cafeamazon #thehundredsishuge #thehundreds @ Cafe Amazon @ PTT Sukhaphibarn3 
AMZ,"$20 to Spend at Mello Cafe, $12 - Save 40% http://t.co/fYnxvLR7HE http://t.co/br1pl34DGf"
AMZ,@ Amazon Cofee @ Amazon Cafe@Ptt Seireethai https://t.co/DIgUpwR0xb
AMZ,@PocketMath @kvpops @CafeAmazon It was awesome :)
AMZ,@TerryTyler4 End of discussion - but #Cromer readers can check out Terry's own English usage at http://t.co/1t4KSV0A4a - great reads!
AMZ,afternoon greentea zzZz (@ Caf Amazon) https://t.co/4kKv0j4xpJ
AMZ,Alone :) #cafeamazon #greentea #happy #fresh #vscocamthailand #vsco #vscocam
AMZ,Amazon Cofee @ Amazon Cafe@Ptt Seireethai instagram.com/p/8xavoJjNZ5/
AMZ,Before Game #cafeamazon #tracksair 
AMZ,Black #Coffee #cafeamazon instagram.com/p/1ch0TWQgCt/
AMZ,Cafe amazon in valentine's day. #coffee #coffeofday #coffeshop #cafeamazon #valentine #valentinesday 
AMZ,chill with friends  @ Cafe Amazon Au Mall https://t.co/NtPlNTQSxG
AMZ,Chocolate @ Cafe' Amazon Future Park Rungsit https://t.co/yZgO0RGDa8
AMZ,coffe o'clock 😁😁 #cafeAmazon @ cafe'Amazon 
AMZ,coffee time by cafeamazon pic.twitter.com/bnH8BZAdlz
AMZ,Evo Cafe on #Yelp: Love this cafe after I do my workout at elliptifit! They have this Amazon acai bowl that's made o http://t.co/2ISR6ElnuW
AMZ,Friday with ice Americano #CafeAmazon (@ Cafe Amazon 
AMZ,green tea time ❤🍵🍃 @ #cafeAmazon pic.twitter.com/28jzc4ojOy
AMZ,Hello Sunday 😄😆👧👦#HappyTime #CafeAmazon #ThaiTeaFrappe #RainbowCrepeCake #pixlr #Samsung #Grand2… 
AMZ,Hi i'm here (@ Cafe' Amazon PTT Lamchee 226 Rd.) 
AMZ,Hi i'm here (@ Cafe' Amazon PTT Lamchee 226 Rd.) https://t.co/cKB7nSRQ1L
AMZ,Hot Cocoa in the morning ☀️ #PattyEnjoyEating#CafeAmazon#HotCocoa @ Are you ready for SAT ❓ 
AMZ,I just bought: 'CAFE PARADISE: Suzy's last chance at fulfilling a lifelong dream' by Carol... via @amazonkindle http://t.co/qQDA2hGwIt
AMZ,Ice Americano : Cafe Amazon by PTT #CafeAmazon #PTT #Thailand @ Cafe Amazon Nongprachak 
AMZ,I'm at Amazon Cafe  @TAWADA Pakchong https://t.co/KNENhaBjFW
AMZ,I'm at Amazon Cafe' Coffee Adventure 
AMZ,I'm at Amazon Cafe' Coffee Adventure https://t.co/0OgnZFbJa7
AMZ,I'm at Amazon Cafe' PTT  https://t.co/qZORivtrot
AMZ,"I'm at Caf Amazon ( ) in Khlong Luang, Pathum Thani https://t.co/XTJqgkSqt9"
AMZ,"I'm at Caf Amazon ( ) in Mueang Pathum Thani, Pathum Thani https://t.co/kHDSMaWycI"
AMZ,"I'm at Caf Amazon ( ) in Mueang Phatthalung, Phatthalung https://t.co/EqgSZWiYOl"
AMZ,"I'm at Caf Amazon ( ) in Mueang Surat Thani, Surat Thani https://t.co/xvOmCHctzM"
AMZ,"I'm at Caf Amazon ( ) in Rayong, Thailand https://t.co/TVEr3vpTr9"
AMZ,I'm at Caf Amazon | PTT Fah Thai https://t.co/m8Rm5MLTeN
AMZ,I'm at Caf Amazon https://t.co/0LSnDGSm5d
AMZ,I'm at Caf Amazon https://t.co/imPmZ1TI9W
AMZ,"I'm at Cafe' Amazon ( ) in Din Daeng, Bangkok https://t.co/93We3ZzbbQ"
AMZ,"I'm at Cafe' Amazon ( ) in Prawet, Bangkok https://t.co/BJ8Hq7vQkS"
