Time,dust_1,dust_2_5,dust_10
2020-02-05T22:07:18Z,9.24,20.84,41.6
2020-02-05T22:05:25Z,8.67,19.33,44.42
2020-02-05T22:03:33Z,8.66,17.61,26.58
2020-02-05T22:01:40Z,7.59,16.95,29.39
2020-02-05T21:59:47Z,7.66,14.14,16.22
2020-02-05T21:57:54Z,8.64,22.27,44.02
2020-02-05T21:56:01Z,8.48,22.09,31.19
2020-02-05T21:54:08Z,7.98,17.3,33.48
2020-02-05T21:52:15Z,7.07,12.22,31.64
2020-02-05T21:50:21Z,8.04,18.59,27.25
2020-02-05T21:48:28Z,7.94,17.78,50.97
2020-02-05T21:46:34Z,8.14,15.74,68.49
2020-02-05T21:44:40Z,7.21,16.12,26.41
2020-02-05T21:42:47Z,7.22,15.67,33.51
2020-02-05T21:40:53Z,7.18,17.34,40.99
2020-02-05T21:39:01Z,8.23,19.15,57.83
2020-02-05T21:37:08Z,7.66,16.13,38.4
2020-02-05T21:35:15Z,7.7,17.5,64.41
2020-02-05T21:33:22Z,8.31,18.01,67.38
2020-02-05T21:31:29Z,8.19,17.21,59.9
2020-02-05T21:29:37Z,8.09,18.66,52.72
2020-02-05T21:27:44Z,7.93,15.69,29.53
2020-02-05T21:25:51Z,7.92,15.87,36.65
2020-02-05T21:23:55Z,7.72,16.44,55.24
2020-02-05T21:22:02Z,7.0,15.2,20.68
2020-02-05T21:20:06Z,7.71,15.03,29.2
2020-02-05T21:18:13Z,7.12,14.02,36.42
2020-02-05T21:16:19Z,8.21,17.4,43.27
2020-02-05T21:14:23Z,7.7,15.04,19.69
2020-02-05T21:12:09Z,7.42,18.01,35.19
2020-02-05T21:10:17Z,7.23,16.44,50.63
2020-02-05T21:08:19Z,7.47,14.98,51.8
2020-02-05T21:06:26Z,8.29,15.38,32.41
2020-02-05T21:04:33Z,8.07,18.1,36.48
2020-02-05T21:02:41Z,7.29,12.02,29.95
2020-02-05T21:00:48Z,7.9,15.97,25.81
2020-02-05T20:58:54Z,8.3,19.46,31.78
2020-02-05T20:57:01Z,6.72,12.6,20.77
2020-02-05T20:55:08Z,7.13,15.92,40.99
2020-02-05T20:53:15Z,7.71,16.41,51.68
2020-02-05T20:51:19Z,7.19,12.43,27.61
2020-02-05T20:49:26Z,6.79,12.8,16.06
2020-02-05T20:47:33Z,7.28,15.38,43.26
2020-02-05T20:45:40Z,7.32,16.36,45.07
2020-02-05T20:43:46Z,7.37,14.17,28.71
2020-02-05T20:41:54Z,6.71,16.65,29.63
2020-02-05T20:40:01Z,7.65,15.52,52.11
2020-02-05T20:38:08Z,7.81,15.67,20.56
2020-02-05T20:36:15Z,7.15,14.77,28.11
2020-02-05T20:34:22Z,7.99,16.07,37.85
2020-02-05T20:32:21Z,6.92,13.58,49.19
2020-02-05T20:30:27Z,7.87,17.79,25.82
2020-02-05T20:28:34Z,7.71,15.37,18.44
2020-02-05T20:26:41Z,6.8,12.72,16.22
2020-02-05T20:24:49Z,7.52,14.4,46.81
2020-02-05T20:22:56Z,7.74,16.84,26.57
2020-02-05T20:21:03Z,6.71,10.03,24.17
2020-02-05T20:19:09Z,8.67,18.58,44.84
2020-02-05T20:17:17Z,8.01,18.06,38.35
2020-02-05T20:15:24Z,7.23,16.9,40.23
2020-02-05T20:13:31Z,7.87,18.81,48.05
2020-02-05T20:11:38Z,7.54,16.09,28.78
2020-02-05T20:09:45Z,7.18,15.3,25.28
2020-02-05T20:07:53Z,7.34,15.18,29.84
2020-02-05T20:06:00Z,6.67,12.9,36.5
2020-02-05T20:04:07Z,6.18,11.75,14.01
2020-02-05T20:02:14Z,7.05,14.2,51.38
2020-02-05T20:00:21Z,7.05,13.18,26.63
2020-02-05T19:58:23Z,7.37,15.88,40.93
2020-02-05T19:56:30Z,7.39,16.51,22.05
2020-02-05T19:54:37Z,6.66,14.64,24.27
2020-02-05T19:52:36Z,7.33,15.75,42.73
2020-02-05T19:50:43Z,7.71,13.91,23.65
2020-02-05T19:48:50Z,6.79,12.04,27.23
2020-02-05T19:46:57Z,7.5,13.58,44.01
2020-02-05T19:45:04Z,6.69,10.97,18.04
2020-02-05T19:43:11Z,7.43,16.67,27.92
2020-02-05T19:41:18Z,7.9,17.1,22.5
2020-02-05T19:39:24Z,8.24,16.83,29.29
2020-02-05T19:37:31Z,8.02,15.6,31.71
2020-02-05T19:35:37Z,7.54,14.07,23.16
2020-02-05T19:33:44Z,7.47,15.2,71.05
2020-02-05T19:31:51Z,8.66,18.95,41.78
2020-02-05T19:29:59Z,8.14,18.3,39.92
2020-02-05T19:27:58Z,8.23,16.0,33.57
2020-02-05T19:26:05Z,8.61,15.51,35.61
2020-02-05T19:24:12Z,8.62,14.68,47.08
2020-02-05T19:22:19Z,8.4,17.0,24.46
2020-02-05T19:20:26Z,8.59,15.24,19.14
2020-02-05T19:18:33Z,8.95,16.92,38.54
2020-02-05T19:16:40Z,8.39,13.87,19.69
2020-02-05T19:14:41Z,8.0,17.13,29.37
2020-02-05T19:12:48Z,8.16,16.56,28.11
