time,pm25
2020-02-05T22:05:49Z,38
2020-02-05T22:03:49Z,35
2020-02-05T22:01:49Z,33
2020-02-05T21:59:49Z,31
2020-02-05T21:57:48Z,37
2020-02-05T21:55:48Z,31
2020-02-05T21:53:48Z,38
2020-02-05T21:51:48Z,32
2020-02-05T21:49:47Z,32
2020-02-05T21:47:48Z,32
2020-02-05T21:45:47Z,33
2020-02-05T21:43:47Z,34
2020-02-05T21:41:47Z,34
2020-02-05T21:39:46Z,32
2020-02-05T21:37:46Z,32
2020-02-05T21:35:46Z,32
2020-02-05T21:33:46Z,32
2020-02-05T21:31:45Z,29
2020-02-05T21:29:46Z,35
2020-02-05T21:27:45Z,34
2020-02-05T21:25:45Z,36
2020-02-05T21:23:45Z,32
2020-02-05T21:21:44Z,31
2020-02-05T21:19:44Z,32
2020-02-05T21:17:44Z,32
2020-02-05T21:15:44Z,35
2020-02-05T21:13:43Z,34
2020-02-05T21:11:43Z,33
2020-02-05T21:09:43Z,30
2020-02-05T21:07:43Z,36
2020-02-05T21:05:43Z,33
2020-02-05T21:03:43Z,31
2020-02-05T21:01:43Z,38
2020-02-05T20:59:42Z,30
2020-02-05T20:57:42Z,36
2020-02-05T20:55:41Z,34
2020-02-05T20:53:41Z,30
2020-02-05T20:51:41Z,32
2020-02-05T20:49:41Z,34
2020-02-05T20:47:41Z,31
2020-02-05T20:45:40Z,31
2020-02-05T20:43:40Z,30
2020-02-05T20:41:40Z,32
2020-02-05T20:39:40Z,34
2020-02-05T20:37:39Z,32
2020-02-05T20:35:39Z,33
2020-02-05T20:33:39Z,35
2020-02-05T20:31:39Z,34
2020-02-05T20:29:39Z,32
2020-02-05T20:27:38Z,34
2020-02-05T20:25:39Z,34
2020-02-05T20:23:38Z,30
2020-02-05T20:21:38Z,34
2020-02-05T20:19:38Z,35
2020-02-05T20:17:37Z,35
2020-02-05T20:15:37Z,31
2020-02-05T20:13:37Z,32
2020-02-05T20:11:37Z,36
2020-02-05T20:09:36Z,36
2020-02-05T20:07:36Z,32
2020-02-05T20:05:36Z,31
2020-02-05T20:03:36Z,30
2020-02-05T20:01:36Z,34
2020-02-05T19:59:35Z,32
2020-02-05T19:57:35Z,31
2020-02-05T19:55:35Z,36
2020-02-05T19:53:34Z,33
2020-02-05T19:49:34Z,31
2020-02-05T19:47:34Z,28
2020-02-05T19:45:34Z,31
2020-02-05T19:43:33Z,33
2020-02-05T19:41:33Z,32
2020-02-05T19:39:33Z,34
2020-02-05T19:37:33Z,31
2020-02-05T19:35:32Z,32
2020-02-05T19:33:32Z,34
2020-02-05T19:31:32Z,39
2020-02-05T19:29:32Z,39
2020-02-05T19:27:31Z,36
2020-02-05T19:25:32Z,37
2020-02-05T19:23:31Z,38
2020-02-05T19:21:31Z,32
2020-02-05T19:19:31Z,33
2020-02-05T19:17:31Z,35
2020-02-05T19:15:30Z,38
2020-02-05T19:13:30Z,32
2020-02-05T19:11:30Z,37
2020-02-05T19:09:30Z,35
2020-02-05T19:07:29Z,31
2020-02-05T19:05:29Z,36
2020-02-05T19:03:29Z,37
2020-02-05T19:01:29Z,38
2020-02-05T18:59:28Z,34
2020-02-05T18:57:28Z,35
2020-02-05T18:55:28Z,39
2020-02-05T18:53:28Z,37
2020-02-05T18:51:28Z,35
2020-02-05T18:49:27Z,39
2020-02-05T18:47:28Z,38
2020-02-05T18:45:27Z,35
2020-02-05T18:43:27Z,35
2020-02-05T18:41:26Z,35
2020-02-05T18:39:26Z,37
2020-02-05T18:37:26Z,35
2020-02-05T18:35:26Z,37
2020-02-05T18:33:25Z,35
2020-02-05T18:31:25Z,37
2020-02-05T18:29:25Z,39
2020-02-05T18:27:25Z,37
2020-02-05T18:25:25Z,37
2020-02-05T18:23:24Z,39
2020-02-05T18:21:24Z,39
2020-02-05T18:19:24Z,39
2020-02-05T18:17:24Z,38
2020-02-05T18:15:24Z,39
2020-02-05T18:13:23Z,43
2020-02-05T18:11:23Z,43
2020-02-05T18:09:23Z,40
2020-02-05T18:07:22Z,42
2020-02-05T18:05:22Z,40
2020-02-05T18:03:22Z,42
2020-02-05T18:01:22Z,43
2020-02-05T17:59:22Z,39
2020-02-05T17:57:21Z,39
2020-02-05T17:53:21Z,44
2020-02-05T17:51:21Z,46
2020-02-05T17:49:20Z,47
2020-02-05T17:47:21Z,43
