Time,PM25
04/02/2020 12:00,67
04/02/2020 13:00,54
04/02/2020 14:00,54
04/02/2020 15:00,49
04/02/2020 16:00,55
04/02/2020 17:00,53
04/02/2020 18:00,50
04/02/2020 19:00,55
04/02/2020 20:00,45
04/02/2020 21:00,49
04/02/2020 22:00,49
04/02/2020 23:00,47
05/02/2020 00:00,49
05/02/2020 01:00,41
05/02/2020 02:00,36
05/02/2020 03:00,34
05/02/2020 04:00,40
05/02/2020 05:00,44
05/02/2020 06:00,44
05/02/2020 07:00,41
05/02/2020 08:00,51
05/02/2020 09:00,49
05/02/2020 10:00,48
05/02/2020 11:00,41
05/02/2020 12:00,45
05/02/2020 13:00,46
05/02/2020 14:00,40
05/02/2020 15:00,40
05/02/2020 16:00,43
05/02/2020 17:00,44
05/02/2020 18:00,46
05/02/2020 19:00,47
05/02/2020 20:00,46
05/02/2020 21:00,44
05/02/2020 22:00,40
05/02/2020 23:00,39
06/02/2020 00:00,36
06/02/2020 01:00,37
06/02/2020 02:00,29
06/02/2020 03:00,33
06/02/2020 04:00,30
06/02/2020 05:00,27
06/02/2020 06:00,28
06/02/2020 07:00,30
06/02/2020 08:00,29
06/02/2020 09:00,44
06/02/2020 10:00,43
06/02/2020 11:00,41
06/02/2020 12:00,37
06/02/2020 13:00,34
